sample,location,region,region2,Contig51781-2182,Contig7437-297,Contig19921-198,Contig43068-228,Contig18508-1189,Contig48434-398,Contig47323-480,Contig52170-261,Contig44754-173,Contig76320-480,Contig73761-413,Contig12238-2416,Contig75365-1536,Contig36727-1876,Contig11732-584,Contig70391-1125,Contig7209-1592,Contig75240-3293,Contig26899-4679,Contig54830-1845,Contig55280-1132,Contig28180-782,Contig75701-1296,Contig84643-228,Contig94283-521,Contig9951-1310,Contig35075-585,Contig40476-2086,Contig21109-2670,Contig87964-826,Contig17601-354,Contig43011-2013,Contig30235-2735,Contig59027-934,Contig11632-2800,Contig43353-1147,Contig28811-1509,Contig38445-1320,Contig27316-1247,Contig71144-917,Contig94535-593,Contig95759-384,Contig82221-1244,Contig41680-787,Contig17251-1035,Contig11157-581,Contig36597-373,Contig89303-853,Contig48247-1242,Contig29192-3957,Contig53440-770,Contig49627-293,Contig14467-285
Andros1-14536X65,1Andro,Bahamas,North,0,NA,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,NA,0,0,1,0,NA,0,NA,NA,0,0,0,0,0
Andros1NA-14536X74,1Andro,Bahamas,North,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,NA,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,1,0,0,0,0,0,NA,0,0,1,0,0,0
Andros11-14536X75,1Andro,Bahamas,North,1,1,0,1,0,0,0,0,1,1,1,1,1,0,2,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,0,0,0
Andros14-14536X78,1Andro,Bahamas,North,1,1,1,0,1,0,0,1,0,NA,0,0,0,NA,2,2,0,1,0,1,1,0,0,0,1,NA,0,0,0,0,1,1,NA,1,0,0,NA,0,0,1,0,NA,0,0,0,1,1,0,0,1,1,0,0
Andros15-14536X79,1Andro,Bahamas,North,NA,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,2,1,1,NA,0,NA,0,NA,NA,0,1,0,0,0,2,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,1,0,0,1,0,0,0
Andros2-14536X66,1Andro,Bahamas,North,2,2,0,1,0,1,0,1,1,0,0,1,1,0,2,2,0,2,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
Andros3-14536X67,1Andro,Bahamas,North,2,2,NA,1,NA,0,1,1,0,NA,0,0,NA,NA,NA,1,1,2,1,2,0,0,NA,0,NA,NA,0,NA,0,1,NA,2,NA,0,0,0,NA,0,NA,1,0,NA,2,0,NA,0,NA,NA,1,2,0,0,NA
Andros4-14536X68,1Andro,Bahamas,North,1,0,1,1,0,0,1,1,0,0,1,2,1,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,NA,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0
Andros7-14536X71,1Andro,Bahamas,North,0,0,2,0,1,0,0,1,1,1,0,0,2,0,2,1,0,2,1,2,1,0,0,0,0,1,1,0,0,0,NA,2,0,0,1,0,0,0,0,2,1,0,NA,1,0,0,1,0,0,2,0,0,0
Andros8-14536X72,1Andro,Bahamas,North,1,1,1,1,NA,NA,0,1,1,0,0,NA,NA,0,1,1,0,NA,1,0,1,0,NA,NA,NA,1,0,0,1,0,0,1,1,0,1,0,2,0,0,1,0,0,2,2,0,1,0,0,0,1,0,0,0
